
images (1).jpg:

images (2).jpg:
sheep : 52.19302177429199

images (11).jpg:
person : 82.39771127700806
sheep : 58.712923526763916

images (12).jpg:
person : 58.93970727920532
cow : 61.404913663864136
cow : 91.08133912086487
cow : 53.05846929550171
cow : 63.23751211166382
cow : 67.65543818473816
cow : 50.72855353355408
cow : 52.88517475128174
cow : 87.32328414916992
cow : 60.6881320476532
cow : 73.20005893707275
cow : 94.2389965057373
cow : 71.00690603256226
cow : 83.65824222564697
cow : 96.99200391769409

images (13).jpg:

images (14).jpg:
person : 52.7235209941864
car : 85.8050286769867
person : 56.31827712059021
person : 58.122438192367554
person : 70.27555108070374
car : 83.05115103721619
car : 55.286163091659546
car : 86.41239404678345
car : 86.26371622085571

images (15).jpg:
bird : 63.65631818771362
cow : 57.17279314994812
cow : 58.802688121795654

images (16).jpg:

images (17).jpg:
cow : 99.81803894042969
cow : 91.82500839233398

images (18).jpg:
car : 58.35368633270264
cow : 56.08922243118286
cow : 65.39579629898071
cow : 62.279677391052246
cow : 93.23347806930542
cow : 81.46811723709106
cow : 96.22355103492737

images (19).jpg:
cow : 74.82677698135376
cow : 59.14069414138794
cow : 85.93196868896484
cow : 59.45019721984863
person : 95.24510502815247

images (20).jpg:
cow : 63.50455284118652
sheep : 77.43704915046692
horse : 54.5951247215271
cow : 95.23114562034607

images (21).jpg:
cow : 68.52116584777832
cow : 99.785715341568
person : 95.54503560066223
cow : 90.15384912490845

images (22).jpg:
car : 62.37788796424866
car : 87.99406290054321
car : 79.60718870162964
car : 85.94591021537781
person : 68.96790266036987
motorcycle : 57.84749388694763
car : 91.3156509399414
car : 95.58613300323486
car : 97.63902425765991
car : 93.13569068908691

images (23).jpg:
cow : 52.45246887207031
cow : 67.829030752182
cow : 86.17806434631348
cow : 64.00336027145386
cow : 56.04652762413025
cow : 80.60156106948853

images (24).jpg:

images (25).jpg:
cow : 63.92618417739868
cow : 57.21349120140076
cow : 78.28397750854492
cow : 52.61884927749634
cow : 60.020530223846436
cow : 54.02451753616333

images (26).jpg:
car : 65.66840410232544
truck : 51.99281573295593
car : 51.82024836540222
car : 50.7724404335022
car : 62.10217475891113
car : 56.34201765060425
car : 86.79242730140686
car : 55.95695376396179
car : 58.33432674407959
car : 92.0500099658966
car : 71.58961296081543
car : 69.64190006256104
car : 85.59146523475647
car : 64.10508155822754
car : 69.51455473899841
car : 83.2269549369812
car : 78.93946170806885
car : 79.23495769500732
car : 95.94807624816895
car : 64.93975520133972
car : 91.09513759613037
car : 84.95120406150818
car : 92.71696209907532
car : 75.23484230041504
car : 93.92672777175903
car : 91.90641641616821
car : 89.26841616630554
car : 94.79824304580688
car : 93.90302300453186

images (27).jpg:
car : 56.318289041519165
car : 77.19718217849731
car : 59.36618447303772
car : 72.07449078559875
car : 64.9190366268158
car : 53.00185680389404
car : 89.41022157669067
car : 75.78150033950806
car : 58.18604230880737
car : 86.63745522499084
car : 81.99416995048523
car : 81.35240077972412
car : 91.9886589050293
car : 51.16668939590454
car : 59.3903124332428
car : 90.37905931472778
car : 90.96122980117798
car : 52.97242999076843
car : 87.62013912200928
car : 92.25303530693054
car : 71.09144330024719
car : 80.69489002227783
car : 87.44661211967468
car : 94.03393864631653
car : 90.04854559898376
car : 91.17412567138672
car : 81.95726871490479
car : 98.88896346092224
truck : 50.582265853881836
car : 86.53653264045715

images (28).jpg:
sheep : 63.91807794570923

images (29).jpg:

images (30).jpg:
person : 61.34918928146362
cow : 50.564467906951904
cow : 50.42647123336792
cow : 99.49771165847778

images (31).jpg:
cow : 64.1438364982605
cow : 79.01266813278198
horse : 77.23265886306763
horse : 82.99345970153809
cow : 94.13601756095886
person : 92.18634366989136

images (32).jpg:
cow : 69.26819682121277
cow : 53.903359174728394
cow : 51.872581243515015
cow : 92.3593282699585
cow : 50.00079870223999
cow : 96.1207389831543
person : 94.6936309337616

images (33).jpg:
cow : 70.5162525177002
cow : 68.79879236221313
cow : 56.717246770858765
cow : 83.77498388290405
cow : 65.06089568138123
cow : 61.41902804374695
cow : 56.66981339454651
cow : 62.877196073532104
horse : 76.6654372215271

images (34).jpg:
cow : 87.66966462135315
cow : 97.48477935791016
cow : 81.12199306488037
cow : 69.6736991405487

images (35).jpg:
cow : 58.529967069625854
cow : 59.01782512664795
cow : 81.67252540588379
cow : 67.70025491714478
cat : 84.93527173995972
person : 70.21121382713318
cow : 51.86318755149841
cow : 50.533682107925415

images (36).jpg:

images (37).jpg:
cow : 56.181955337524414
dog : 55.09732365608215

images (38).jpg:
horse : 51.65669918060303
cow : 59.05301570892334
cow : 61.1803412437439
cow : 57.16492533683777
cow : 54.22704815864563
cow : 89.87149596214294
person : 96.69665098190308

images (39).jpg:
cow : 50.93100070953369
person : 92.21370816230774
person : 96.66886329650879
person : 86.8804931640625
cow : 98.57408404350281

images (40).jpg:
person : 78.25467586517334
cow : 93.051016330719
cow : 87.75470852851868

images (41).jpg:
horse : 59.22032594680786
cow : 61.533695459365845
cow : 73.95126819610596
cow : 53.080546855926514
sheep : 50.72813630104065
horse : 54.2782187461853
cow : 51.910364627838135

images (42).jpg:
person : 66.68900847434998
person : 55.01043200492859
person : 62.72315979003906
person : 79.73710298538208
person : 53.84654998779297
person : 50.66989064216614
person : 54.514503479003906
person : 84.52749252319336
person : 89.6489143371582
person : 76.28532648086548
person : 94.08127665519714
cow : 62.58038282394409

images (43).jpg:
person : 95.57795524597168

images (44).jpg:
person : 54.93737459182739
person : 72.91378974914551
dog : 67.29976534843445
person : 50.330549478530884

images (45).jpg:

images (46).jpg:

images (47).jpg:
truck : 51.49146318435669
car : 54.32311296463013
car : 66.75528883934021
car : 69.27491426467896
car : 87.77555227279663
car : 86.75644397735596
car : 88.75758647918701
car : 91.30253791809082
truck : 67.42262244224548
car : 90.20185470581055
car : 89.03354406356812

images (48).jpg:
person : 71.97490334510803
elephant : 55.414968729019165
cow : 66.40489101409912
cow : 53.264784812927246
cow : 51.432228088378906
cow : 77.53868699073792
cow : 57.82654881477356
cow : 51.556336879730225
cow : 54.097169637680054
cow : 55.48023581504822
cow : 50.94537138938904
cow : 67.71465539932251
cow : 60.60141324996948
cow : 66.97589755058289
cow : 73.2984185218811
cow : 72.59517908096313
cow : 58.4855854511261
cow : 75.82358121871948
cow : 53.65251302719116
cow : 64.42830562591553

images (49).jpg:
horse : 52.71373987197876
cow : 55.765414237976074
cow : 53.711915016174316
cow : 55.129843950271606
cow : 60.22058725357056
cow : 59.46342349052429
cow : 72.08206057548523
cow : 83.21985602378845
cow : 77.74003148078918

images (50).jpg:
truck : 51.7177939414978
bus : 51.97063088417053
car : 63.88300657272339
car : 84.05767679214478
car : 83.4333598613739
car : 79.74054217338562
car : 75.99579691886902
car : 73.67363572120667
car : 67.17686057090759
car : 80.4947018623352
car : 73.9628255367279
truck : 87.01817989349365
bus : 85.88473796844482
bus : 64.32859301567078
truck : 91.17047786712646
truck : 86.0527753829956
car : 66.87813997268677
car : 82.18855857849121
car : 85.86865663528442
car : 91.22008085250854
car : 65.63929915428162
car : 66.93497896194458
car : 69.88071799278259
car : 95.39260268211365
car : 88.2591962814331
car : 98.98349046707153
truck : 57.528042793273926
car : 95.77589631080627
